Co_7_0_int5.xyz -29.07
Co_7_1_int5.xyz -13.92
Co_7_2_int5.xyz -27.96
Co_7_3_int5.xyz -0.85
Co_7_4_int5.xyz -19.72
Co_7_5_int5.xyz -15.91
Co_7_6_int5.xyz -15.95
Co_7_8_int5.xyz -7.15
Co_7_9_int5.xyz -15.06
Co_7_10_int5.xyz -14.33
Co_7_11_int5.xyz -18.00
Co_7_12_int5.xyz -14.84
Co_7_14_int5.xyz -17.49
Co_7_16_int5.xyz -20.86
Co_7_17_int5.xyz -17.46
Co_7_18_int5.xyz -18.56
Co_7_21_int5.xyz -11.14
Co_7_22_int5.xyz -17.01
Co_8_0_int5.xyz -31.74
Co_8_1_int5.xyz -31.84
Co_8_2_int5.xyz -16.57
Co_8_3_int5.xyz -31.51
Co_8_4_int5.xyz -29.57
Co_8_5_int5.xyz -18.90
Co_8_6_int5.xyz -30.96
Co_8_7_int5.xyz 1.19
Co_8_8_int5.xyz -29.24
Co_8_9_int5.xyz -23.65
Co_8_10_int5.xyz -28.14
Co_8_11_int5.xyz -26.65
Co_8_12_int5.xyz -29.61
Co_8_13_int5.xyz -16.39
Co_8_14_int5.xyz -30.99
Co_8_15_int5.xyz -11.19
Co_8_16_int5.xyz -24.70
Co_8_17_int5.xyz -33.26
Co_8_18_int5.xyz -31.60
Co_8_19_int5.xyz -27.79
Co_8_20_int5.xyz -27.94
Co_8_21_int5.xyz -31.53
Co_8_22_int5.xyz -27.59
Co_9_0_int5.xyz -28.26
Co_9_1_int5.xyz -26.80
Co_9_2_int5.xyz -17.68
Co_9_3_int5.xyz -16.12
Co_9_4_int5.xyz -28.93
Co_9_5_int5.xyz -26.03
Co_9_6_int5.xyz -30.41
Co_9_8_int5.xyz -30.83
Co_9_9_int5.xyz -26.40
Co_9_10_int5.xyz -23.33
Co_9_11_int5.xyz -29.40
Co_9_12_int5.xyz -30.18
Co_9_13_int5.xyz -20.96
Co_9_14_int5.xyz -29.43
Co_9_15_int5.xyz -23.39
Co_9_16_int5.xyz -25.06
Co_9_17_int5.xyz -31.02
Co_9_18_int5.xyz -25.66
Co_9_19_int5.xyz -22.48
Co_9_20_int5.xyz -26.57
Co_9_21_int5.xyz -19.05
Co_9_22_int5.xyz -13.21
Co_10_0_int5.xyz -29.48
Co_10_1_int5.xyz -30.47
Co_10_2_int5.xyz -20.58
Co_10_3_int5.xyz -11.08
Co_10_4_int5.xyz -32.78
Co_10_5_int5.xyz -24.79
Co_10_6_int5.xyz -24.82
Co_10_8_int5.xyz -27.88
Co_10_9_int5.xyz -25.99
Co_10_10_int5.xyz -29.32
Co_10_11_int5.xyz -29.57
Co_10_12_int5.xyz -29.12
Co_10_13_int5.xyz -13.63
Co_10_14_int5.xyz -29.91
Co_10_15_int5.xyz -11.95
Co_10_16_int5.xyz -19.91
Co_10_17_int5.xyz -26.90
Co_10_18_int5.xyz -27.73
Co_10_19_int5.xyz -29.16
Co_10_20_int5.xyz -25.46
Co_10_21_int5.xyz -22.07
Co_10_22_int5.xyz -16.23
Co_11_0_int5.xyz -32.29
Co_11_1_int5.xyz -26.00
Co_11_2_int5.xyz -16.34
Co_11_3_int5.xyz -19.71
Co_11_4_int5.xyz -33.25
Co_11_5_int5.xyz -22.27
Co_11_6_int5.xyz -27.41
Co_11_7_int5.xyz 0.14
Co_11_8_int5.xyz -29.28
Co_11_9_int5.xyz -28.06
Co_11_10_int5.xyz -23.10
Co_11_11_int5.xyz -29.07
Co_11_12_int5.xyz -25.21
Co_11_13_int5.xyz -15.17
Co_11_14_int5.xyz -28.86
Co_11_15_int5.xyz -14.48
Co_11_16_int5.xyz -28.42
Co_11_17_int5.xyz -30.57
Co_11_18_int5.xyz -23.89
Co_11_19_int5.xyz -24.42
Co_11_20_int5.xyz -27.32
Co_11_21_int5.xyz -18.89
Co_11_22_int5.xyz -23.76
Co_12_0_int5.xyz -30.58
Co_12_1_int5.xyz -24.90
Co_12_2_int5.xyz -20.13
Co_12_3_int5.xyz -21.44
Co_12_4_int5.xyz -31.46
Co_12_5_int5.xyz -22.26
Co_12_6_int5.xyz -25.71
Co_12_7_int5.xyz -1.01
Co_12_8_int5.xyz -29.49
Co_12_9_int5.xyz -29.22
Co_12_10_int5.xyz -25.19
Co_12_11_int5.xyz -23.30
Co_12_12_int5.xyz -30.50
Co_12_13_int5.xyz -10.58
Co_12_14_int5.xyz -29.84
Co_12_15_int5.xyz -10.03
Co_12_16_int5.xyz -30.39
Co_12_17_int5.xyz -25.55
Co_12_18_int5.xyz -27.82
Co_12_19_int5.xyz -35.32
Co_12_20_int5.xyz -23.09
Co_12_21_int5.xyz -26.61
Co_12_22_int5.xyz -25.46
Co_13_0_int5.xyz -25.23
Co_13_1_int5.xyz -18.08
Co_13_2_int5.xyz -22.99
Co_13_4_int5.xyz -26.24
Co_13_5_int5.xyz -17.76
Co_13_6_int5.xyz -10.89
Co_13_8_int5.xyz -28.85
Co_13_9_int5.xyz -23.11
Co_13_10_int5.xyz -17.38
Co_13_11_int5.xyz -25.06
Co_13_12_int5.xyz -25.06
Co_13_13_int5.xyz -10.30
Co_13_14_int5.xyz -20.36
Co_13_16_int5.xyz -23.17
Co_13_17_int5.xyz -20.60
Co_13_18_int5.xyz -26.99
Co_13_19_int5.xyz -20.59
Co_13_20_int5.xyz -20.79
Co_13_21_int5.xyz -19.27
Co_13_22_int5.xyz -12.26
Co_14_0_int5.xyz -31.60
Co_14_1_int5.xyz -22.07
Co_14_2_int5.xyz -24.39
Co_14_3_int5.xyz -12.94
Co_14_4_int5.xyz -26.60
Co_14_5_int5.xyz -21.27
Co_14_6_int5.xyz -24.30
Co_14_7_int5.xyz -9.11
Co_14_8_int5.xyz -28.23
Co_14_9_int5.xyz -26.40
Co_14_10_int5.xyz -29.90
Co_14_11_int5.xyz -30.15
Co_14_12_int5.xyz -28.02
Co_14_13_int5.xyz -14.26
Co_14_14_int5.xyz -24.54
Co_14_16_int5.xyz -22.94
Co_14_17_int5.xyz -27.88
Co_14_18_int5.xyz -26.48
Co_14_19_int5.xyz -27.13
Co_14_20_int5.xyz -24.87
Co_14_21_int5.xyz -26.49
Co_14_22_int5.xyz -17.02
Co_15_0_int5.xyz -32.09
Co_15_1_int5.xyz -21.37
Co_15_2_int5.xyz -20.39
Co_15_4_int5.xyz -35.22
Co_15_5_int5.xyz -17.75
Co_15_6_int5.xyz -15.02
Co_15_8_int5.xyz -26.48
Co_15_9_int5.xyz -20.26
Co_15_10_int5.xyz -19.70
Co_15_11_int5.xyz -21.32
Co_15_12_int5.xyz -11.87
Co_15_13_int5.xyz -11.77
Co_15_16_int5.xyz -25.30
Co_15_17_int5.xyz -23.26
Co_15_18_int5.xyz -25.95
Co_15_19_int5.xyz -20.86
Co_15_20_int5.xyz -23.60
Co_15_21_int5.xyz -11.75
Co_15_22_int5.xyz -14.21
Co_16_0_int5.xyz -24.47
Co_16_1_int5.xyz -18.21
Co_16_2_int5.xyz -16.26
Co_16_3_int5.xyz -13.15
Co_16_4_int5.xyz -27.21
Co_16_5_int5.xyz -31.05
Co_16_6_int5.xyz -17.50
Co_16_7_int5.xyz -1.22
Co_16_8_int5.xyz -27.84
Co_16_9_int5.xyz -21.84
Co_16_10_int5.xyz -23.02
Co_16_11_int5.xyz -27.84
Co_16_12_int5.xyz -24.06
Co_16_13_int5.xyz -12.93
Co_16_14_int5.xyz -28.54
Co_16_16_int5.xyz -29.68
Co_16_17_int5.xyz -31.66
Co_16_18_int5.xyz -22.85
Co_16_19_int5.xyz -27.75
Co_16_20_int5.xyz -28.26
Co_16_21_int5.xyz -14.52
Co_16_22_int5.xyz -20.53
Co_17_0_int5.xyz -30.50
Co_17_1_int5.xyz -25.54
Co_17_2_int5.xyz -19.62
Co_17_3_int5.xyz -17.12
Co_17_4_int5.xyz -23.70
Co_17_5_int5.xyz -22.92
Co_17_6_int5.xyz -29.75
Co_17_7_int5.xyz -2.84
Co_17_8_int5.xyz -28.64
Co_17_9_int5.xyz -26.05
Co_17_10_int5.xyz -26.34
Co_17_11_int5.xyz -27.76
Co_17_12_int5.xyz -29.21
Co_17_13_int5.xyz -14.38
Co_17_14_int5.xyz -24.76
Co_17_15_int5.xyz -17.67
Co_17_16_int5.xyz -27.77
Co_17_17_int5.xyz -34.89
Co_17_18_int5.xyz -37.53
Co_17_19_int5.xyz -31.31
Co_17_20_int5.xyz -22.89
Co_17_21_int5.xyz -16.61
Co_17_22_int5.xyz -3.64
Co_18_0_int5.xyz -23.43
Co_18_1_int5.xyz -19.29
Co_18_2_int5.xyz -17.49
Co_18_3_int5.xyz -9.48
Co_18_4_int5.xyz -25.86
Co_18_5_int5.xyz -23.71
Co_18_6_int5.xyz -24.32
Co_18_7_int5.xyz -6.13
Co_18_8_int5.xyz -28.25
Co_18_9_int5.xyz -26.75
Co_18_10_int5.xyz -29.95
Co_18_11_int5.xyz -24.73
Co_18_12_int5.xyz -29.15
Co_18_13_int5.xyz -6.08
Co_18_14_int5.xyz -22.63
Co_18_15_int5.xyz -25.15
Co_18_16_int5.xyz -30.37
Co_18_17_int5.xyz -30.06
Co_18_18_int5.xyz -31.19
Co_18_19_int5.xyz -25.15
Co_18_20_int5.xyz -22.21
Co_18_21_int5.xyz -18.85
Co_18_22_int5.xyz -13.31
Co_19_0_int5.xyz -34.17
Co_19_1_int5.xyz -20.32
Co_19_2_int5.xyz -18.52
Co_19_3_int5.xyz -16.42
Co_19_4_int5.xyz -27.90
Co_19_5_int5.xyz -24.54
Co_19_6_int5.xyz -26.73
Co_19_8_int5.xyz -28.06
Co_19_9_int5.xyz -27.36
Co_19_10_int5.xyz -19.64
Co_19_11_int5.xyz -24.15
Co_19_12_int5.xyz -27.22
Co_19_13_int5.xyz -19.75
Co_19_14_int5.xyz -27.26
Co_19_15_int5.xyz -18.46
Co_19_16_int5.xyz -31.28
Co_19_17_int5.xyz -33.74
Co_19_18_int5.xyz -27.02
Co_19_19_int5.xyz -28.62
Co_19_20_int5.xyz -31.12
Co_19_21_int5.xyz -25.86
Co_19_22_int5.xyz -14.87
Co_20_0_int5.xyz -25.49
Co_20_1_int5.xyz -26.16
Co_20_2_int5.xyz -22.02
